paper_id,assigned_agent
3302047507518431315,20
2310639658847470250,21
4804391404600006319,22
3464492412019741723,23
6954460070857515750,1
8607532894279263356,2
4197177455214316091,3
8992056403892413298,4
7819353585440594386,5
1027832950776348839,6
paper:7874976853840465645,7
9066827667293794622,8
8403475809492059132,9
7727887448853140793,10
2618410873801015115,11
7443447264133815130,12
3165552967462035978,13
8275379364533900043,14
paper:3033882166999374279,15
2395434247571698089,16
649234180091566534,17
1829574206311425252,18
5754310686930505204,19
4297249878943257335,20
901122192558029385,21
3501156030807321372,22
2641200895421430767,23
793592550980905877,1
5789255500855350391,2
7906148459535831684,3
9193689769973441491,4
1269277471812976025,5
813449355947414537,6
3747531280277962504,7
paper:5588495275950532896,8
5589496931043643892,9
8707340272897143499,10
9102213496411494579,11
2391807197990807650,12
8496228684782664599,13
1800283210962300312,14
paper:7913371153702371293,15
paper:8905887077880728096,16
1493824108579909774,17
7624062787295663653,18
7026582709056275203,19
8569023696122445190,20
9102339612216284943,21
6786177724011591666,22
7229651332889906963,23
93876876639071929,1
7027584146272465659,2
5336364734150426579,3
5990148641765362197,4
548088352798411852,5
2526571604248250802,6
paper:8410854322951799151,7
7761882977732596955,8
1625956046822943882,9
3434422876818543608,10
